order_id,order_date,customer_id,product,qty,unit_price,cost,channel,city
100001,2025-11-21 12:25:12,C02026,Monitor,4,826.23,632.54,online,Fortaleza
100002,2025-03-03 22:27:06,C00601,Webcam,3,255.06,143.57,online,Fortaleza
100003,2025-07-31 09:03:12,C04522,Mouse,5,82.61,30.34,store,Goiania
100004,2025-07-05 13:45:25,C03589,Monitor,4,852.74,644.1,marketplace,Salvador
100005,2025-12-01 19:30:23,C02509,Laptop Stand,3,112.47,57.24,store,Fortaleza
100006,2025-07-13 06:25:22,C02358,SSD 1TB,3,445.55,340.85,online,Curitiba
100007,2025-08-04 18:06:55,C02869,Laptop Stand,3,121.26,57.53,store,Fortaleza
100008,2025-05-10 11:51:36,C04142,Monitor,2,820.14,665.77,marketplace,Brasília
100009,2025-02-08 22:27:20,C04000,Laptop Stand,5,131.31,60.84,marketplace,Fortaleza
100010,2025-02-09 19:13:30,C02524,Headset,2,180.32,128.87,online,Goiania
100011,2025-07-28 13:16:33,C03134,Headset,5,215.51,113.36,marketplace,São Paulo
100012,2025-11-11 19:44:30,C02565,Monitor,3,986.05,702.61,marketplace,Brasília
100013,2025-12-11 09:31:50,C02437,Headset,1,210.41,111.02,online,Recife
100014,2025-04-04 12:47:08,C01276,Keyboard,1,144.28,91.12,marketplace,Goiania
100015,2025-03-23 20:47:46,C00660,Headset,2,195.06,114.45,store,Curitiba
100016,2025-02-20 19:51:43,C04543,Laptop Stand,2,108.25,56.1,marketplace,Curitiba
100017,2025-07-30 21:31:36,C03519,Monitor,4,822.26,704.88,marketplace,São Paulo
100018,2025-07-25 17:09:08,C00607,Keyboard,5,148.23,90.71,store,Salvador
100019,2025-11-18 03:07:21,C00886,Monitor,3,833.24,637.03,store,Curitiba
100020,2025-01-17 21:00:16,C03762,Monitor,3,893.3,604.1,marketplace,Curitiba
100021,2025-01-30 09:08:20,C03204,Laptop Stand,3,119.2,64.69,online,Curitiba
100022,2025-08-30 04:02:12,C03663,Mouse,3,72.65,31.43,online,São Paulo
100023,2025-12-05 21:40:45,C02242,Monitor,2,892.98,605.66,marketplace,Curitiba
100024,2025-05-26 17:53:27,C03571,Webcam,4,247.09,130.78,marketplace,Curitiba
100025,2025-08-24 13:45:04,C01890,USB Hub,1,68.92,23.74,marketplace,Curitiba
100026,2025-12-27 23:23:54,C04745,Headset,2,215.62,112.61,marketplace,Recife
100027,2025-08-15 12:50:52,C02520,Monitor,1,957.86,666.92,online,Salvador
100028,2025-09-14 06:28:16,C02951,USB Hub,5,65.89,23.85,online,Salvador
100029,2025-05-02 12:20:59,C00402,Laptop Stand,4,131.08,62.93,store,Curitiba
100030,2025-07-26 06:39:03,C01500,Laptop Stand,1,110.85,55.29,marketplace,Fortaleza
100031,2025-07-28 07:34:09,C00831,Mouse,4,80.8,28.78,store,Curitiba
100032,2025-03-01 20:21:16,C02907,Mouse,2,78.96,29.75,marketplace,Fortaleza
100033,2025-05-19 06:46:28,C01910,Laptop Stand,1,112.26,57.21,store,Rio de Janeiro
100034,2025-03-15 01:41:25,C04254,Laptop Stand,1,125.0,59.03,marketplace,Fortaleza
100035,2025-05-13 13:47:03,C00157,USB Hub,4,69.01,24.91,store,Fortaleza
100036,2025-06-27 20:14:39,C02127,USB Hub,1,67.84,27.42,store,Fortaleza
100037,2025-03-23 02:26:53,C02770,Laptop Stand,5,119.42,58.74,marketplace,São Paulo
100038,2025-06-30 19:54:50,C03888,SSD 1TB,1,448.35,334.28,marketplace,Goiania
100039,2025-05-26 11:06:57,C02205,Laptop Stand,1,127.49,64.64,marketplace,São Paulo
100040,2025-06-23 18:52:19,C00614,Monitor,3,827.09,666.29,online,Recife
100041,2025-03-07 04:50:14,C03078,USB Hub,5,74.49,22.76,store,São Paulo
100042,2025-12-01 20:14:19,C01974,Monitor,2,914.58,595.14,online,Brasília
